Dataset,TradingWeekStart,WeekStartBalance,RiskAmountYen,Trades,WeekYenPnL,WeekReturnPct,WeekEndBalance
Base,2015-01-05 06:00:00,500000.0,10000.0,22,-30499.0,-6.1,469501.0
Base,2015-01-12 06:00:00,469501.0,9390.0,35,77721.0,16.55,547222.0
Base,2015-01-19 06:00:00,547222.0,10944.0,24,78614.0,14.37,625836.0
Base,2015-01-26 06:00:00,625836.0,12517.0,26,139351.0,22.27,765187.0
Base,2015-02-02 06:00:00,765187.0,15304.0,18,-33358.0,-4.36,731829.0
Base,2015-02-09 06:00:00,731829.0,14637.0,42,93618.0,12.79,825446.0
Base,2015-02-16 06:00:00,825446.0,16509.0,24,-7653.0,-0.93,817794.0
Base,2015-02-23 06:00:00,817794.0,16356.0,25,-32500.0,-3.97,785293.0
Base,2015-03-02 06:00:00,785293.0,15706.0,20,-5766.0,-0.73,779528.0
Base,2015-03-09 06:00:00,779528.0,15591.0,50,113981.0,14.62,893509.0
Base,2015-03-16 06:00:00,893509.0,17870.0,21,96415.0,10.79,989924.0
Base,2015-03-23 06:00:00,989924.0,19798.0,31,65823.0,6.65,1055747.0
Base,2015-03-30 06:00:00,1055747.0,21115.0,20,-36776.0,-3.48,1018971.0
Base,2015-04-06 06:00:00,1018971.0,20379.0,31,-12135.0,-1.19,1006836.0
Base,2015-04-13 06:00:00,1006836.0,20137.0,29,-219251.0,-21.78,787585.0
Base,2015-04-20 06:00:00,787585.0,15752.0,29,12579.0,1.6,800164.0
Base,2015-04-27 06:00:00,800164.0,16003.0,22,129448.0,16.18,929612.0
Base,2015-05-04 06:00:00,929612.0,18592.0,22,120806.0,13.0,1050418.0
Base,2015-05-11 06:00:00,1050418.0,21008.0,45,-703.0,-0.07,1049714.0
Base,2015-05-18 06:00:00,1049714.0,20994.0,22,-23628.0,-2.25,1026087.0
Base,2015-05-25 06:00:00,1026087.0,20522.0,35,-54487.0,-5.31,971600.0
Base,2015-06-01 06:00:00,971600.0,19432.0,13,68022.0,7.0,1039622.0
Base,2015-06-08 06:00:00,1039622.0,20792.0,44,-8021.0,-0.77,1031601.0
Base,2015-06-15 06:00:00,1031601.0,20632.0,20,87383.0,8.47,1118984.0
Base,2015-06-22 06:00:00,1118984.0,22380.0,34,17263.0,1.54,1136247.0
Base,2015-06-29 06:00:00,1136247.0,22725.0,22,210755.0,18.55,1347002.0
Base,2015-07-06 06:00:00,1347002.0,26940.0,33,111079.0,8.25,1458081.0
Base,2015-07-13 06:00:00,1458081.0,29162.0,31,300383.0,20.6,1758464.0
Base,2015-07-20 06:00:00,1758464.0,35169.0,29,58104.0,3.3,1816568.0
Base,2015-07-27 06:00:00,1816568.0,36331.0,28,167710.0,9.23,1984278.0
Base,2015-08-03 06:00:00,1984278.0,39686.0,21,98787.0,4.98,2083065.0
Base,2015-08-10 06:00:00,2083065.0,41661.0,24,270612.0,12.99,2353677.0
Base,2015-08-17 06:00:00,2353677.0,47074.0,17,3019.0,0.13,2356696.0
Base,2015-08-24 06:00:00,2356696.0,47134.0,22,-403759.0,-17.13,1952937.0
Base,2015-08-31 06:00:00,1952937.0,39059.0,17,-50979.0,-2.61,1901958.0
Base,2015-09-07 06:00:00,1901958.0,38039.0,38,514552.0,27.05,2416510.0
Base,2015-09-14 06:00:00,2416510.0,48330.0,24,-650323.0,-26.91,1766187.0
Base,2015-09-21 06:00:00,1766187.0,35324.0,31,182048.0,10.31,1948235.0
Base,2015-09-28 06:00:00,1948235.0,38965.0,19,-116988.0,-6.0,1831247.0
Base,2015-10-05 06:00:00,1831247.0,36625.0,17,-136842.0,-7.47,1694405.0
Base,2015-10-12 06:00:00,1694405.0,33888.0,17,47259.0,2.79,1741664.0
Base,2015-10-19 06:00:00,1741664.0,34833.0,23,-183596.0,-10.54,1558068.0
Base,2015-10-26 06:00:00,1558068.0,31161.0,18,62818.0,4.03,1620886.0
Base,2015-11-02 06:00:00,1620886.0,32418.0,21,-27775.0,-1.71,1593111.0
Base,2015-11-09 06:00:00,1593111.0,31862.0,50,236444.0,14.84,1829556.0
Base,2015-11-16 06:00:00,1829556.0,36591.0,24,8839.0,0.48,1838394.0
Base,2015-11-23 06:00:00,1838394.0,36768.0,35,49731.0,2.71,1888125.0
Base,2015-11-30 06:00:00,1888125.0,37762.0,19,326477.0,17.29,2214602.0
Base,2015-12-07 06:00:00,2214602.0,44292.0,37,-309858.0,-13.99,1904744.0
Base,2015-12-14 06:00:00,1904744.0,38095.0,20,371116.0,19.48,2275860.0
Base,2015-12-21 06:00:00,2275860.0,45517.0,22,112663.0,4.95,2388523.0
Base,2016-01-04 06:00:00,2388523.0,47770.0,20,164642.0,6.89,2553165.0
Base,2016-01-11 06:00:00,2553165.0,51063.0,42,618697.0,24.23,3171862.0
Base,2016-01-18 06:00:00,3171862.0,63437.0,18,-11876.0,-0.37,3159986.0
Base,2016-01-25 06:00:00,3159986.0,63200.0,23,186309.0,5.9,3346296.0
Base,2016-02-01 06:00:00,3346296.0,66926.0,17,517733.0,15.47,3864028.0
Base,2016-02-08 06:00:00,3864028.0,77281.0,38,-6387.0,-0.17,3857642.0
Base,2016-02-15 06:00:00,3857642.0,77153.0,23,589205.0,15.27,4446847.0
Base,2016-02-22 06:00:00,4446847.0,88937.0,31,376819.0,8.47,4823666.0
Base,2016-02-29 06:00:00,4823666.0,96473.0,18,-489451.0,-10.15,4334215.0
Base,2016-03-07 06:00:00,4334215.0,86684.0,40,954420.0,22.02,5288635.0
Base,2016-03-14 06:00:00,5288635.0,105773.0,23,-851632.0,-16.1,4437003.0
Base,2016-03-21 06:00:00,4437003.0,88740.0,32,366735.0,8.27,4803738.0
Base,2016-03-28 06:00:00,4803738.0,96075.0,23,423900.0,8.82,5227638.0
Base,2016-04-04 06:00:00,5227638.0,104553.0,27,618817.0,11.84,5846455.0
Base,2016-04-11 06:00:00,5846455.0,116929.0,43,2052772.0,35.11,7899227.0
Base,2016-04-18 06:00:00,7899227.0,157985.0,27,1858153.0,23.52,9757380.0
Base,2016-04-25 06:00:00,9757380.0,195148.0,27,1408805.0,14.44,11166185.0
Base,2016-05-02 06:00:00,11166185.0,223324.0,23,963768.0,8.63,12129953.0
